"date_key","product_key","store_key","promotion_key","cashier_key","payment_method_key","pos_transaction","sales_quantity","regular_unit_price","discount_unit_price","net_unit_price","extended_discount_dollar_amount","extended_sales_dollar_amount","extended_cost_dollar_amount","extended_gross_profit_dollar_amount"
"20230518","10354","2125","28971","CASHIER167","78462","offline","2","21000.00","0.00","21000.00","0.00","42000.00","32000.00","10000.00"
"20231007","10796","2126","28971","CASHIER317","24974","offline","6","36500.00","0.00","36500.00","0.00","219000.00","189000.00","30000.00"
"20230526","12341","2123","28971","CASHIER262","29238","offline","7","3000.00","0.00","3000.00","0.00","21000.00","18900.00","2100.00"
"20231224","14205","2126","28971","CASHIER103","78462","offline","2","17500.00","0.00","17500.00","0.00","35000.00","25000.00","10000.00"
"20231107","14205","2123","28971","CASHIER222","19321","offline","9","17500.00","0.00","17500.00","0.00","157500.00","112500.00","45000.00"
"20230409","11718","2126","28971","CASHIER115","24974","offline","3","25000.00","0.00","25000.00","0.00","75000.00","60000.00","15000.00"
"20230210","10354","2125","28971","CASHIER115","24974","offline","7","21000.00","0.00","21000.00","0.00","147000.00","112000.00","35000.00"
"20230518","14205","2125","28971","CASHIER262","78462","offline","7","17500.00","0.00","17500.00","0.00","122500.00","87500.00","35000.00"
"20231128","10796","2125","28971","CASHIER103","29238","offline","3","36500.00","0.00","36500.00","0.00","109500.00","94500.00","15000.00"
"20230806","14205","2126","28971","CASHIER115","29238","offline","1","17500.00","0.00","17500.00","0.00","17500.00","12500.00","5000.00"
"20230113","10354","2123","28971","CASHIER167","19321","offline","6","21000.00","0.00","21000.00","0.00","126000.00","96000.00","30000.00"
"20230323","14205","2125","28971","CASHIER115","19321","offline","9","17500.00","0.00","17500.00","0.00","157500.00","112500.00","45000.00"
"20230519","10354","2126","28971","CASHIER262","29238","offline","5","21000.00","0.00","21000.00","0.00","105000.00","80000.00","25000.00"
"20230121","11718","2126","28971","CASHIER222","19321","offline","3","25000.00","0.00","25000.00","0.00","75000.00","60000.00","15000.00"
