Date Key,Product Key,Store Key,Promotion Key,Cashier Key,Payment Method Key,POS Transaction,Sales Quantity
"20230518","10354","2125","28971","CASHIER167","78462","offline","2"         
"20230526","12341","2123","28971","CASHIER262","29238","offline","7"         
"20231224","14205","2126","28971","CASHIER103","78462","offline","2"         
"20231107","14205","2123","28971","CASHIER222","19321","offline","9"         
"20230409","11718","2126","28971","CASHIER115","24974","offline","3"         
"20230210","10354","2125","28971","CASHIER115","24974","offline","7"         
"20230518","14205","2125","28971","CASHIER262","78462","offline","7"         
"20231128","10796","2125","28971","CASHIER103","29238","offline","3"         
"20230806","14205","2126","28971","CASHIER115","29238","offline","1"        
"20230113","10354","2123","28971","CASHIER167","19321","offline","6"         
"20230323","14205","2125","28971","CASHIER115","19321","offline","9"         
"20230519","10354","2126","28971","CASHIER262","29238","offline","5"         
"20230121","11718","2126","28971","CASHIER222","19321","offline","3"         
