Date Key,Product Key,Store Key,Promotion Key,Cashier Key,Payment Method Key,POS Transaction,Sales Quantity
"20230118","12341","2124","28971","CASHIER317","29238","offline","1"
"20231008","10354","2123","28971","CASHIER262","19321","offline","10"
"20231206","10796","2123","28971","CASHIER177","19321","offline","7"
"20230217","11718","2124","28971","CASHIER262","19321","offline","2"
"20230615","10354","2123","28971","CASHIER208","29238","offline","2"
"20230603","11718","2125","28971","CASHIER115","29238","offline","5"
"20230503","12341","2127","28971","CASHIER167","78462","offline","9"
"20230921","10796","2126","28971","CASHIER115","29238","offline","7"
"20230320","11718","2127","28971","CASHIER262","78462","offline","2"
"20231024","10354","2124","28971","CASHIER167","29238","offline","6"
"20231010","10354","2124","28971","CASHIER167","19321","offline","2"
"20230201","10354","2127","28971","CASHIER115","24974","offline","10"
"20230529","10354","2123","28971","CASHIER262","78462","offline","3"
"20230511","10354","2124","28971","CASHIER167","24974","offline","1"
"20230322","10354","2124","28971","CASHIER208","29238","offline","6"
"20230722","12341","2127","28971","CASHIER167","78462","offline","4"
"20230720","14205","2124","28971","CASHIER115","29238","offline","2"
"20230727","11718","2126","28971","CASHIER115","78462","offline","7"
"20230908","12341","2124","28971","CASHIER115","29238","offline","8"
"20230629","14205","2124","28971","CASHIER317","29238","offline","3"
"20230601","12341","2124","28971","CASHIER115","24974","offline","6"
"20230627","14205","2126","28971","CASHIER103","29238","offline","6"
"20230527","11718","2125","28971","CASHIER103","78462","offline","9"
"20230406","14205","2125","28971","CASHIER208","78462","offline","5"
"20230911","10796","2125","28971","CASHIER208","24974","offline","6"
